GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mavenLibrarySystem,com.company,LibraryItems,0,6,0,0,0,3,0,1,0,1
mavenLibrarySystem,com.company,Ebooks,20,41,0,0,7,17,5,8,5,8
mavenLibrarySystem,com.company,EmptyDesk,4,24,0,0,1,10,1,6,1,6
mavenLibrarySystem,com.company,DVDs,4,23,0,0,1,10,1,6,1,6
mavenLibrarySystem,com.company,Magazines,8,30,0,0,3,13,2,9,2,9
mavenLibrarySystem,com.company,DigitalItems,0,6,0,0,0,3,0,2,0,2
mavenLibrarySystem,com.company,AudioBooks,14,45,0,0,5,18,3,9,3,9
mavenLibrarySystem,com.company,Library,6,18,0,0,1,6,1,3,1,3
mavenLibrarySystem,com.company,Main,15,0,0,0,4,0,2,0,2,0
mavenLibrarySystem,com.company,Books,20,71,0,0,7,28,4,14,4,14
mavenLibrarySystem,com.company,ComputerDesk,4,26,0,0,1,11,1,7,1,7
mavenLibrarySystem,com.company,AnalogueItems,0,4,0,0,0,2,0,1,0,1
